Passengerid,Age,Fare,Sex,sibsp,zero,zero.1,zero.2,zero.3,zero.4,zero.5,zero.6,Parch,zero.7,zero.8,zero.9,zero.10,zero.11,zero.12,zero.13,zero.14,Pclass,zero.15,zero.16,Embarked,zero.17,zero.18,2urvived
53,30,40,44,33,72,52,43,48,43,69,32,41,52,25,34,45,36,41,73,57,40,67,40,48,58,37,77
56,71,71,47,78,24,43,62,61,30,43,51,73,29,66,38,77,34,74,51,42,31,77,46,57,53,47,53
80,86,38,50,53,44,24,41,18,67,57,44,45,49,37,39,42,38,34,61,62,69,65,19,40,47,42,23
59,59,37,34,62,61,68,42,49,56,53,49,61,29,40,21,54,46,46,51,63,34,70,32,74,64,35,30
56,47,53,79,52,49,40,13,61,78,61,47,48,60,29,57,62,45,34,43,17,65,26,31,53,53,45,28
42,57,47,65,24,57,53,47,45,52,30,65,51,33,22,67,38,66,44,79,16,56,45,20,44,68,26,44
54,47,60,52,81,85,60,31,36,41,43,50,49,37,61,49,71,49,44,49,35,61,65,60,27,60,55,16
51,29,46,51,42,36,58,46,65,42,65,53,62,41,29,25,39,37,81,30,55,28,53,43,44,79,39,39
57,47,67,61,52,38,81,59,37,57,72,60,35,64,47,62,50,64,29,62,56,55,36,64,49,88,55,24
43,43,61,49,39,43,48,21,43,19,52,59,58,55,51,51,74,50,56,48,42,35,57,66,62,58,64,33
38,56,48,39,12,50,43,63,45,86,45,34,54,51,84,57,49,50,70,63,61,62,53,48,22,28,49,88
57,54,12,65,56,41,42,44,80,54,44,43,26,46,53,71,62,56,42,57,69,59,46,47,34,61,75,43
39,52,37,55,48,68,63,75,49,32,28,59,45,42,44,39,41,45,51,59,69,34,72,58,68,33,64,46
40,65,73,37,62,47,22,58,64,29,51,23,31,62,36,49,53,29,27,48,43,56,43,30,43,56,45,51
45,76,55,72,53,36,58,52,42,61,35,31,36,46,47,54,36,33,25,61,34,61,37,56,47,42,62,77
58,47,60,52,31,55,51,57,36,59,47,54,62,42,38,19,40,66,54,70,41,56,36,48,30,38,60,53
39,74,40,41,39,45,49,50,52,56,52,43,26,38,67,66,47,68,32,49,57,53,61,55,32,61,50,30
77,37,48,39,64,68,56,45,64,48,93,32,75,41,63,54,47,67,44,41,56,48,26,73,49,49,64,42
27,46,52,64,61,56,40,47,63,65,13,65,39,58,65,45,30,50,46,50,64,65,67,69,4,47,52,48
76,83,26,50,53,60,48,40,78,46,34,37,43,53,78,31,26,77,47,49,45,36,44,43,54,49,38,67
47,40,33,59,46,60,65,24,36,49,56,56,43,64,65,39,55,56,62,37,19,41,41,62,39,50,75,56
46,65,38,26,58,46,50,35,32,36,39,6,51,46,46,53,59,41,57,66,58,56,61,33,21,42,43,44
24,54,50,47,28,48,60,72,49,50,16,37,63,49,69,59,23,49,40,49,49,52,44,58,27,38,52,74
42,83,52,42,58,40,71,24,65,60,60,59,30,8,24,99,63,67,33,51,46,76,46,19,32,73,58,53
52,29,51,33,65,11,49,47,72,45,32,44,61,44,73,11,80,51,33,53,64,83,32,41,48,55,68,47
38,27,50,45,52,63,43,29,65,67,58,60,66,67,22,53,46,40,68,22,36,37,65,60,53,50,26,34
55,62,34,63,69,43,54,41,52,47,55,47,46,52,51,65,60,48,42,42,44,52,44,57,77,42,73,60
57,43,50,36,41,47,53,64,35,43,51,64,64,52,52,59,46,57,57,45,52,67,49,10,34,66,22,75
82,50,41,54,29,31,39,42,63,40,35,44,27,29,59,58,27,53,35,44,43,42,50,66,44,45,54,78
64,44,42,62,53,47,43,72,38,45,71,66,71,64,75,63,40,28,57,42,50,42,33,45,67,17,31,55
35,46,60,56,45,60,59,44,43,38,27,28,34,51,37,57,57,55,67,46,30,20,56,39,50,25,47,31
69,52,47,41,70,78,52,27,46,76,68,33,18,41,49,68,73,73,59,24,41,35,38,34,42,60,41,47
67,50,68,44,46,49,37,42,49,65,62,80,39,33,54,33,52,44,29,70,29,28,54,40,71,76,40,64
59,22,42,57,65,41,55,30,37,54,38,82,52,58,40,45,40,58,35,46,59,68,56,48,57,59,63,44
58,39,61,58,44,62,45,45,33,73,65,60,32,63,45,69,58,53,28,35,60,35,41,55,48,58,21,43
47,54,58,42,58,48,46,69,51,60,58,38,51,47,47,46,30,65,50,59,14,30,34,53,52,35,26,42
31,72,36,55,24,45,60,65,57,62,63,22,56,39,53,71,45,64,29,62,67,29,69,28,41,61,52,38
46,76,70,81,70,63,60,54,69,88,41,63,41,57,32,75,23,43,65,42,70,36,53,30,32,39,41,52
77,57,24,9,64,52,70,51,62,66,54,36,54,53,30,30,30,83,33,51,46,46,43,55,19,66,62,62
24,63,23,46,58,33,55,31,45,49,45,95,87,54,63,53,60,50,39,58,61,67,70,46,50,57,47,35
19,69,44,55,70,53,59,43,73,36,36,32,53,31,44,21,65,27,74,53,27,63,49,72,36,44,42,51
63,41,52,62,55,60,72,46,40,36,53,62,43,67,26,55,58,62,67,53,36,40,75,48,31,41,48,21
38,37,53,48,57,62,31,66,73,67,66,61,49,82,77,82,6,44,52,60,46,42,36,34,40,58,44,84
82,78,51,42,64,43,46,73,30,49,49,62,61,39,57,51,29,21,50,46,40,50,34,65,37,81,53,70
34,27,57,34,12,45,33,56,31,49,51,57,25,45,27,46,30,73,36,26,70,35,40,51,42,35,57,42
45,41,42,60,55,70,59,41,76,61,67,70,51,48,46,49,38,75,65,55,42,56,63,58,46,70,46,46
76,58,42,49,68,65,58,51,60,75,41,49,32,46,39,42,42,54,41,57,48,30,61,60,53,52,76,42
26,42,60,46,40,31,60,57,51,46,43,73,60,76,46,35,49,37,35,38,50,37,18,45,65,39,57,65
51,58,40,29,72,59,45,82,53,57,67,55,44,23,59,84,48,54,45,57,46,42,81,61,51,54,49,27
47,47,22,20,54,26,81,48,61,53,68,44,55,68,49,36,60,21,73,69,56,10,43,70,78,39,40,17
63,72,49,47,79,61,55,71,45,75,70,28,69,36,52,53,47,76,29,37,50,58,46,54,42,40,46,36
26,44,51,46,49,56,42,58,70,80,34,50,30,33,60,55,68,36,70,41,63,50,63,29,29,71,89,49
36,49,49,44,82,44,16,61,26,30,30,56,43,41,59,40,30,73,55,52,18,56,42,59,56,71,54,45
37,71,48,44,38,71,57,26,51,36,80,26,44,63,32,48,57,26,50,38,82,57,63,47,34,37,55,40
49,67,58,72,32,43,44,36,48,73,43,50,38,47,25,49,48,55,48,60,62,35,33,48,37,35,64,17
65,42,27,59,50,55,26,26,74,61,43,43,40,82,33,32,58,56,68,30,43,30,61,16,54,36,56,40
75,42,17,57,42,41,55,25,81,58,45,49,42,60,69,52,64,28,67,44,61,35,49,48,70,55,45,64
72,53,65,56,31,50,35,60,52,37,63,41,25,71,66,41,19,39,89,69,41,44,70,68,46,51,51,42
50,31,50,48,35,35,42,84,51,47,28,34,40,66,60,62,45,71,51,68,53,46,44,51,63,63,81,27
72,42,46,62,35,69,33,41,61,20,41,54,47,85,60,64,55,70,66,40,35,43,55,58,37,41,46,55
49,52,55,40,39,46,25,47,56,50,61,67,62,47,55,63,27,72,58,35,45,63,54,56,71,66,64,54
34,63,46,36,39,56,41,48,73,42,49,26,51,63,25,46,53,56,45,34,51,43,65,55,55,35,63,79
66,37,88,48,64,41,54,71,37,52,41,43,57,75,62,55,82,80,53,41,44,36,62,69,31,30,44,78
20,68,43,51,64,48,41,72,55,31,54,80,59,45,51,61,43,43,48,38,39,48,49,33,70,19,43,53
43,54,43,34,66,55,63,52,74,42,39,59,68,37,62,55,1,51,38,53,48,23,62,71,35,37,48,43
33,63,36,31,32,35,32,55,25,59,48,41,38,50,62,60,60,62,34,67,47,38,31,36,38,51,44,56
69,78,59,38,67,40,51,29,38,20,67,44,53,58,69,29,67,99,67,70,77,39,51,59,53,51,57,52
46,49,73,50,48,37,43,28,44,33,50,51,48,36,58,55,13,44,49,40,35,44,27,61,43,51,55,74
58,56,55,41,55,67,55,74,58,62,37,57,27,35,29,15,38,41,55,92,46,30,68,35,55,41,42,82
23,28,41,44,48,64,54,44,71,52,61,50,53,61,57,53,62,40,59,64,48,56,48,27,49,66,73,49
66,47,63,52,37,49,42,39,41,45,52,69,62,45,66,35,16,90,31,42,35,48,27,56,50,44,49,60
45,48,63,57,35,82,27,58,37,44,33,53,32,74,45,60,76,22,77,50,35,58,32,57,35,54,55,64
49,53,57,55,53,37,58,57,40,23,58,42,68,45,36,43,38,40,83,18,44,66,42,65,75,42,46,23
56,49,51,32,24,82,19,38,79,53,56,43,52,57,49,69,46,69,57,54,26,62,63,74,28,91,48,58
39,59,44,63,67,39,33,50,69,61,59,64,82,53,49,51,59,47,66,48,50,63,32,29,51,14,67,51
50,53,61,53,45,30,38,64,19,41,66,55,34,50,48,65,55,41,48,41,85,53,21,95,22,44,68,27
60,46,40,77,57,53,48,50,46,56,35,48,52,26,37,19,31,30,71,22,62,78,71,47,61,43,82,48
45,33,62,54,52,50,53,60,65,58,58,45,50,68,67,38,45,68,56,32,55,69,41,51,70,32,71,51
42,81,51,59,40,41,51,55,28,51,73,49,49,45,44,60,66,52,48,29,52,30,51,45,61,45,58,49
32,12,36,60,64,42,35,69,49,63,46,46,53,51,49,58,44,33,38,49,34,25,32,46,41,46,63,58
36,52,47,72,39,60,44,58,83,46,41,39,62,72,48,15,57,72,53,46,46,18,41,48,35,55,38,48
29,59,56,67,32,39,56,37,66,86,40,36,65,40,69,34,52,79,41,55,38,86,52,77,48,54,68,15
51,58,54,31,88,27,32,49,47,48,33,63,46,31,51,44,40,53,80,45,38,32,47,42,55,75,52,58
46,60,53,42,64,31,64,66,32,46,52,63,51,50,71,29,53,54,58,36,53,83,66,46,46,65,10,93
46,62,30,61,63,42,31,54,59,9,45,45,43,50,52,57,59,50,40,42,66,59,65,67,45,58,29,60
43,5,53,28,57,56,43,59,60,49,45,48,47,64,53,53,49,41,71,74,79,59,58,21,64,64,46,45
37,47,48,66,47,41,56,32,39,77,63,28,63,55,76,74,59,74,34,39,35,44,37,51,67,58,50,47
29,29,37,41,45,48,53,51,55,39,55,60,65,40,51,43,41,93,56,42,68,35,55,72,65,22,45,70
66,68,27,54,58,31,46,40,46,56,58,44,44,51,78,59,56,66,73,59,80,49,65,29,50,45,55,57
54,71,47,22,50,41,54,18,51,80,53,51,32,55,50,51,73,35,80,47,42,52,36,65,58,68,70,57
41,25,59,77,37,60,50,25,23,33,58,59,38,40,49,50,66,25,60,51,32,50,35,56,46,61,44,39
48,41,45,59,32,50,54,53,34,29,9,38,41,48,44,61,70,28,51,56,62,54,55,62,44,38,52,63
35,58,37,43,52,25,81,39,32,38,63,80,60,50,70,51,88,37,45,56,59,48,9,46,56,40,59,38
60,53,51,50,45,46,41,37,57,41,64,69,61,41,51,57,28,75,39,39,62,59,44,48,36,35,27,69
42,20,68,12,64,61,45,57,33,35,59,52,55,79,59,38,54,45,72,26,34,55,49,30,74,47,39,24
34,27,52,54,50,70,57,68,56,52,49,46,39,51,39,38,48,22,56,48,38,36,26,7,64,60,40,67
46,67,59,68,59,79,28,30,56,49,22,60,68,35,39,46,54,53,36,61,41,80,67,50,37,45,51,57
47,52,43,16,7,45,34,75,34,49,34,46,63,47,42,74,40,31,42,36,59,62,25,67,49,40,51,39
34,64,57,47,56,30,47,62,34,17,80,42,42,23,48,61,27,56,53,62,50,54,72,82,40,47,70,76
57,44,21,53,43,38,59,45,60,63,36,60,42,70,49,37,18,54,35,55,39,65,47,69,53,33,48,61
54,63,64,59,36,78,62,46,17,71,45,29,44,50,39,73,52,42,50,37,35,67,28,34,51,54,53,54
58,46,52,37,22,63,52,49,27,27,59,51,63,34,50,26,55,46,39,63,41,53,38,43,58,39,44,43
44,44,44,38,66,34,62,21,50,30,61,34,55,65,54,52,51,40,62,53,28,45,62,60,37,35,48,54
47,69,44,52,43,32,39,56,24,56,34,79,35,55,51,18,67,62,60,40,50,64,37,21,49,83,65,42
73,39,45,45,76,52,49,31,56,72,49,48,42,78,36,32,49,43,40,69,44,78,48,13,62,25,42,46
70,61,30,38,30,64,50,55,60,37,20,55,37,41,74,58,39,48,54,56,65,56,49,57,46,39,76,69
26,27,55,59,49,43,60,14,45,55,86,55,62,62,53,55,42,50,56,28,51,55,50,43,38,51,43,51
46,23,57,69,49,70,57,43,39,36,59,54,36,62,58,58,27,54,25,25,76,39,45,58,46,54,56,52
41,49,48,51,26,77,45,52,28,46,27,51,70,26,35,40,64,37,53,34,36,61,65,72,73,64,79,62
65,54,72,47,11,28,16,67,29,64,32,33,39,60,52,47,74,53,61,61,53,66,46,51,76,76,60,28
44,52,45,17,35,50,55,55,52,53,48,56,45,46,29,40,56,30,13,54,25,32,31,22,55,36,46,55
39,36,37,54,58,56,61,37,45,37,77,32,50,56,29,47,68,39,55,68,37,68,61,38,47,65,65,55
27,34,47,51,66,66,51,64,59,79,53,23,65,41,73,48,32,61,43,50,48,26,79,52,40,54,65,35
32,38,43,77,48,45,53,49,45,47,62,53,58,90,49,44,61,43,65,55,71,52,88,51,19,65,73,80
13,54,64,49,13,66,70,49,29,51,59,41,53,62,43,58,32,59,45,73,51,47,51,39,54,62,64,56
28,52,48,46,52,41,22,49,72,72,44,56,50,36,40,53,65,30,55,66,15,17,60,16,61,19,46,53
30,58,33,25,61,48,43,43,53,40,53,53,53,57,51,70,40,58,49,35,59,36,55,31,39,61,38,51
55,32,67,55,49,50,50,57,70,60,26,35,57,38,53,43,45,65,40,76,62,25,54,31,48,31,25,48
41,20,45,35,41,49,59,26,61,53,60,24,50,71,58,69,64,39,47,47,52,58,65,75,22,77,55,55
60,40,37,70,44,27,46,42,40,37,30,16,28,28,61,72,45,38,76,53,55,39,57,49,57,33,36,32
34,26,56,43,20,60,77,50,66,22,71,64,37,58,44,72,42,63,48,33,43,41,37,46,43,31,74,54
44,74,56,15,33,68,74,40,51,30,20,46,39,75,47,58,66,68,27,63,37,36,35,45,42,65,31,52
33,49,35,73,72,59,33,45,46,47,16,55,53,69,49,77,55,33,77,55,49,56,56,97,41,25,60,49
41,42,34,43,34,77,45,47,28,42,59,57,39,46,57,37,33,83,66,39,39,58,50,65,62,20,50,54
76,50,48,53,52,43,43,70,54,52,54,66,54,50,62,57,47,40,42,72,33,91,35,33,36,46,56,46
81,33,70,39,53,83,43,18,51,54,11,41,48,41,48,52,36,72,46,79,50,30,30,39,67,70,45,51
35,64,56,56,59,64,50,40,54,85,34,23,48,61,64,34,46,22,89,13,19,14,12,65,63,64,32,11
36,56,25,66,43,58,53,62,48,50,47,42,50,59,54,10,52,66,58,22,47,54,38,62,65,54,59,16
29,50,47,47,69,64,29,55,61,24,32,40,30,5,53,61,44,39,58,51,27,47,54,58,85,58,58,51
66,65,52,31,70,62,52,76,46,73,65,24,57,48,64,45,72,80,79,58,61,41,59,36,25,93,75,82
48,60,38,49,69,34,53,35,45,70,63,61,67,32,37,31,62,41,51,47,33,45,62,68,45,38,52,50
51,59,50,40,42,70,45,35,66,59,30,38,56,47,42,59,53,49,32,62,30,55,39,26,71,78,42,67
57,49,60,13,19,50,47,49,54,36,45,73,44,15,20,34,52,46,38,42,50,76,70,51,56,54,18,63
53,56,47,47,68,51,41,64,77,59,56,37,27,44,55,44,40,61,72,43,63,39,68,66,59,73,56,58
58,37,69,47,38,30,54,44,81,74,50,30,39,64,26,53,38,35,55,68,63,62,72,42,40,50,67,36
58,70,38,68,29,39,56,71,75,69,62,49,49,66,66,49,58,68,33,74,34,36,42,44,71,19,45,46
66,58,51,64,46,53,44,47,0,41,32,60,47,63,58,44,15,64,48,42,14,41,69,59,32,59,63,49
34,70,60,51,49,39,34,30,24,30,38,37,74,48,48,49,46,61,44,46,50,49,55,18,40,49,33,61
57,79,47,76,65,57,46,36,23,34,51,56,46,34,51,62,56,27,37,44,37,64,22,52,47,55,53,58
51,41,73,54,47,40,43,35,58,58,54,39,44,40,47,39,37,70,32,44,67,39,51,63,35,60,28,31
33,49,59,37,51,22,47,45,48,69,35,48,66,53,41,32,43,44,44,61,55,69,46,60,69,56,38,75
50,36,47,38,49,61,57,50,58,42,26,36,47,32,29,53,28,25,73,51,68,35,61,52,67,59,56,38
60,80,55,24,39,36,56,39,37,69,49,48,35,40,54,59,60,59,42,48,51,59,53,59,44,35,86,69
34,46,62,39,41,37,70,43,68,36,31,31,67,56,32,45,29,30,65,60,34,43,42,40,27,45,37,44
43,55,54,30,56,31,22,52,32,38,51,52,50,66,59,53,52,53,31,66,43,57,50,68,28,54,69,33
60,13,69,61,50,61,46,43,33,24,41,50,41,36,51,63,34,76,30,49,38,68,37,45,41,45,42,56
44,43,28,43,36,36,66,57,46,61,42,40,42,52,47,62,65,38,43,51,40,57,67,55,72,60,28,34
60,42,57,52,58,59,25,44,78,32,49,25,22,53,57,49,71,48,23,43,54,70,73,29,40,45,39,40
33,55,58,30,21,58,51,50,48,31,66,43,42,60,45,51,57,73,59,40,68,49,10,41,38,32,42,60
32,45,46,47,72,23,32,41,18,64,57,63,48,55,21,29,63,57,62,69,64,74,20,47,50,54,88,50
49,37,42,42,44,53,57,47,49,32,53,58,37,52,44,39,49,69,48,23,62,46,54,42,48,30,74,28
65,28,22,58,46,40,64,54,68,53,56,58,68,39,56,65,7,39,58,57,73,8,58,55,47,26,55,51
64,78,65,52,68,45,38,56,49,61,45,42,48,34,34,57,59,53,66,36,57,33,36,48,59,36,43,33
55,24,69,73,32,26,56,46,76,42,52,65,30,45,48,25,47,45,47,40,31,77,40,41,60,55,55,55
63,61,56,72,74,48,38,78,58,51,46,64,53,56,68,40,1,67,46,65,54,44,71,27,36,40,31,68
41,61,39,50,37,61,45,59,65,24,58,37,20,41,50,43,44,24,55,52,53,53,62,48,27,76,46,31
24,25,68,37,33,33,34,79,45,17,33,79,35,36,43,62,46,27,59,29,57,44,43,61,43,53,41,64
77,73,56,28,41,63,49,61,31,40,62,47,31,13,60,47,53,28,57,25,29,77,42,51,48,63,48,34
55,52,58,32,48,53,65,35,60,79,41,34,17,27,66,17,32,34,45,69,48,58,50,49,56,58,44,40
34,42,57,56,46,48,39,43,76,58,46,37,56,35,50,33,67,40,35,43,50,69,54,65,72,50,38,40
33,62,46,55,45,51,46,50,49,73,45,38,69,43,38,54,57,80,56,58,48,49,47,40,52,74,70,55
64,52,62,64,41,70,47,17,68,65,57,66,64,74,68,37,63,29,54,56,30,70,11,32,63,29,53,40
44,73,41,53,41,65,44,66,24,58,41,61,32,37,59,89,49,20,54,78,45,38,60,65,60,63,37,51
61,75,69,67,32,71,44,40,35,29,59,20,33,24,45,52,42,83,53,30,13,70,41,20,52,41,48,43
70,32,48,74,65,61,77,37,59,42,66,69,33,35,39,34,74,44,48,48,25,66,54,29,29,69,7,42
46,68,46,45,49,59,43,56,63,34,50,45,62,30,35,28,36,72,43,55,33,32,62,47,42,52,57,48
55,62,39,47,52,62,52,42,48,45,41,59,66,59,42,37,42,34,50,64,51,51,65,52,54,32,53,58
38,34,56,74,46,53,82,38,55,64,63,59,65,61,17,43,55,25,70,64,53,66,24,46,65,64,63,81
51,47,56,68,44,51,61,49,50,33,48,43,31,23,40,56,62,30,62,49,29,30,54,62,45,55,53,46
75,59,57,50,57,40,68,77,59,43,56,28,57,58,24,59,44,56,24,79,39,57,55,26,48,57,46,63
36,47,65,63,66,71,74,52,35,51,53,47,90,56,43,45,69,49,65,48,66,47,26,41,36,61,56,54
52,54,50,80,55,39,48,48,51,53,65,39,42,61,67,47,68,58,23,64,57,51,26,42,55,69,61,54
49,40,48,43,31,34,43,9,77,28,68,15,83,69,85,54,50,38,51,41,60,73,64,17,61,53,34,62
70,56,33,55,53,60,53,65,51,34,60,76,2,76,54,59,46,22,55,51,46,64,13,48,27,24,53,54
55,66,43,45,39,50,63,47,31,42,50,52,37,50,60,51,45,69,53,43,44,54,57,80,28,65,67,65
30,54,56,29,51,66,23,40,49,45,62,49,31,32,49,55,28,69,61,58,58,64,27,36,41,47,63,62
89,15,45,55,58,63,42,42,47,58,57,46,23,40,62,38,43,43,54,14,50,61,30,40,50,51,78,14
45,34,75,35,70,80,69,43,30,50,73,49,30,32,61,48,34,57,55,57,54,88,64,49,68,59,51,42
43,43,55,42,51,63,44,29,56,47,54,13,43,76,56,60,57,38,38,43,46,70,41,54,41,19,30,50
39,65,23,52,52,58,70,81,74,57,40,69,43,59,69,55,73,65,58,59,48,44,63,41,64,104,46,22
60,74,74,41,67,39,57,41,70,54,29,29,39,61,43,71,42,40,43,42,34,48,46,45,53,38,62,70
63,25,47,37,42,72,28,40,58,52,35,56,48,54,53,45,38,69,46,38,53,31,55,49,49,60,54,60
44,62,47,56,30,69,66,71,65,68,46,64,57,45,66,63,22,46,28,59,52,55,43,36,40,54,58,52
67,64,43,61,54,46,75,59,57,74,41,33,63,50,61,43,74,49,62,46,87,29,57,37,56,40,60,40
39,62,56,59,58,61,36,41,49,53,46,63,14,77,42,52,59,57,71,50,57,24,47,70,42,43,66,57
40,6,68,32,48,50,53,39,76,55,69,37,54,36,64,34,54,51,51,62,57,54,42,43,47,72,81,33
89,67,43,54,37,58,44,54,42,19,15,44,38,41,28,42,75,61,61,18,67,29,64,29,4,33,67,26
57,49,47,37,44,61,58,31,53,10,7,32,47,54,44,63,53,19,48,49,48,39,56,65,32,30,58,53
52,59,47,43,35,75,22,59,51,50,52,49,64,46,52,27,53,15,34,51,39,42,74,43,42,64,51,13
59,63,86,49,32,68,65,51,44,21,40,38,34,41,80,44,54,62,63,39,46,72,46,57,49,32,22,44
60,71,39,46,92,15,29,61,69,51,53,59,29,44,58,38,69,37,37,28,24,50,60,53,46,29,40,39
31,77,35,60,47,8,55,37,53,46,19,46,37,41,63,64,46,59,45,54,46,38,55,23,27,37,50,41
59,53,59,35,36,33,55,83,54,40,61,38,43,38,45,45,29,41,80,42,37,49,44,37,96,31,58,42
23,55,38,71,64,37,32,64,59,56,30,44,70,27,67,61,20,70,42,63,50,28,47,70,47,47,35,62
40,45,61,70,90,37,45,65,54,40,43,42,65,40,52,33,43,66,24,28,14,33,46,71,74,60,55,60
42,50,55,29,61,57,39,55,58,63,61,51,73,34,35,47,69,47,70,57,65,45,33,64,75,49,50,38
30,48,60,48,43,36,77,68,48,47,30,34,51,64,45,24,54,77,38,40,54,47,47,44,55,48,42,44
29,37,63,33,41,58,63,41,46,73,70,48,40,31,43,61,21,44,48,71,52,103,41,50,62,57,29,40
38,82,65,31,37,56,41,70,37,39,47,52,38,65,41,51,58,33,39,37,48,30,64,31,58,40,51,57
55,74,71,58,79,50,55,70,74,35,41,49,66,52,38,27,66,43,20,43,43,67,14,47,59,51,41,44
40,44,40,72,62,51,54,44,39,56,57,43,33,52,52,51,67,26,36,66,40,52,57,52,62,42,65,27
56,41,63,73,48,52,45,49,46,44,44,62,41,45,52,38,55,67,49,57,49,96,24,82,39,38,44,51
51,47,46,41,41,46,75,38,47,32,25,69,65,12,42,59,29,75,61,51,84,44,43,42,33,38,57,41
56,27,54,66,53,39,52,23,35,60,81,43,52,63,48,29,76,54,19,48,47,53,81,53,51,62,51,50
44,82,68,33,72,52,40,24,58,26,18,59,63,38,49,37,49,48,49,64,40,53,38,35,48,47,40,64
57,31,61,25,72,57,67,55,-7,44,62,46,24,40,49,32,35,53,44,54,46,51,40,19,18,57,41,57
40,51,80,40,54,28,64,64,64,46,49,47,55,61,41,79,46,50,53,46,64,40,47,41,54,76,40,24
47,74,60,61,55,56,77,30,65,49,35,32,69,38,29,19,58,60,64,47,49,61,36,54,63,69,63,76
37,35,61,79,64,50,56,62,52,71,36,52,41,39,50,45,23,40,46,73,37,68,63,46,63,34,66,16
61,58,38,22,53,71,55,55,37,62,47,29,53,23,34,62,54,35,54,35,24,66,42,72,60,77,52,69
34,34,41,34,30,47,76,41,60,41,62,67,46,48,41,44,68,52,54,58,56,30,38,46,39,82,44,34
12,18,42,66,29,23,30,76,66,37,56,57,68,21,50,37,54,43,59,34,60,52,40,57,38,62,36,68
59,54,55,48,58,26,43,49,75,47,50,48,48,36,46,47,43,73,69,45,70,58,28,70,60,49,41,36
49,26,61,55,37,36,37,62,15,66,18,42,45,46,69,28,46,47,62,60,45,54,39,60,63,80,36,36
49,42,46,46,79,28,73,87,39,65,57,47,40,53,76,43,66,37,49,34,69,68,57,47,68,60,32,88
50,47,59,90,45,66,72,53,38,42,65,70,43,45,40,48,34,44,69,52,39,64,53,31,57,37,83,33
49,56,47,23,42,63,62,54,43,25,30,70,66,32,54,26,45,51,45,76,25,61,40,41,53,61,26,56
59,36,48,47,39,64,35,52,40,66,13,52,34,33,71,67,47,44,29,49,44,25,76,48,65,17,68,27
34,49,62,47,47,46,58,29,44,20,33,50,34,50,48,79,80,42,35,38,30,41,31,47,39,36,51,81
50,55,35,80,44,26,65,58,71,71,54,41,34,42,46,55,45,40,51,37,52,39,68,15,44,55,60,58
29,62,24,34,69,49,31,46,49,49,62,23,46,53,29,52,30,50,52,12,40,52,75,40,45,52,49,62
55,38,65,47,46,47,44,66,75,34,89,27,50,46,69,39,63,53,19,35,40,63,56,50,57,40,39,62
77,36,26,61,70,19,10,43,73,50,60,57,44,62,49,58,39,58,21,53,45,34,65,79,67,58,48,54
46,36,40,60,53,60,49,29,49,43,51,58,51,28,38,40,68,31,22,64,36,34,77,68,32,49,51,46
36,61,52,43,63,83,46,28,46,37,50,48,44,57,58,47,79,43,57,33,49,40,34,64,58,46,34,66
64,43,66,32,58,56,71,60,51,56,53,35,32,67,44,42,42,34,40,74,52,31,45,53,67,25,65,64
66,103,34,48,59,61,71,50,49,88,50,54,69,28,66,78,38,32,44,41,51,68,27,46,45,45,43,46
